Cal Date,Jul Day,Location,Ice,Depth,Temp.,Cond.,DO,pH,Turb.,Chl-a,BGA,SRP,SRP_SD,DOP,DOP_SD,PP,PP_SD,TDP,TDP_SD,TP,TP_SD,NO3,DOC,Mn_02,Fe_02,Fe_coll,,Fe_45,Mn_45
,,,(m),(m),(°C),(µS/cm),(mg/l),,(NTU),(µg/l),(cells/ml),(µmol/kg),,,,,,,,,,(mg/l),(mgC/l),(µmol/kg),,,,,
1/15/18,15,Lake,0.34,0.4,0.4,118,14.3,6.8,3.5,2,21,0.14,0.04,,,,,,,0.63,0.01,0.5,3.55,0.26,,,,0.32,0.47
1/15/18,15,Lake,0.34,0.9,0.5,117.7,14.4,6.8,3.5,2.1,90,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.4,0.5,116,14.3,6.8,3.6,2.4,25,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.9,0.9,113,14.3,6.8,4.2,2.8,104,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.4,1.4,131,11.8,6.8,6.8,2.7,167,0.53,0.02,,,,,,,1.28,0.1,0.4,4.3,0.64,0.13,,0.2,0.33,0.85
1/15/18,15,Lake,0.34,2.6,1.8,147,9.5,6.7,8.8,2.7,266,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.9,2.2,184,8.6,6.7,8.9,3.2,313,0.71,0.02,,,,,,,1.67,0,0.6,5.4,1.94,0.15,,0.11,0.27,2.24
1/15/18,15,Lake,0.34,3.1,2.7,194,7.6,6.6,10.7,3.1,180,1.05,0.04,,,,,,,2.39,0.13,0.7,5.1,2.79,0.14,,0.12,0.26,3.07
1/15/18,15,Lake,0.34,3.4,3.3,,2.7,6.6,13.5,,,1.11,0.09,,,,,,,2.7,0.05,0.7,5.1,5.34,0.12,,0.13,0.25,6.06
2/4/18,35,Lake,0.54,0.9,0,70,17.5,7.8,2.3,4.5,702,0.24,0.09,0,0.09,0.19,0.03,0.17,0.02,0.36,0.03,0.6,3.67,0.26,0.03,,0.14,0.17,0.44
2/4/18,35,Lake,0.54,1.5,0.8,68.9,14,7.6,132.1,5.2,450,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,1.8,1.8,70.3,13.3,7.6,4.4,6.8,386,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,2.1,2.3,71.4,12.7,7.5,4.2,5.1,645,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,2.8,3.8,84.6,7.4,7.4,4.8,2.8,130,0.29,0.05,0.07,0.05,0.45,0.08,0.36,0,0.81,0.08,0.5,3.24,,,,,0.17,0.71
2/4/18,35,Lake,0.54,3,4.1,93.7,3.9,7.2,5.8,2.3,74,0.33,0.04,0,0.04,0.46,0.01,0.26,0.01,0.72,0.01,0.4,3.44,1.55,0.11,,0.09,0.19,1.6
2/4/18,35,Lake,0.54,3.2,4.2,96.8,3,7.2,5.9,2.6,207,0.53,0.03,0,0.05,0.52,0.14,0.48,0.04,1,0.13,0.4,4.27,,,,,0.36,3.14
2/4/18,35,Lake,0.54,3.5,4.4,101.2,1.5,7.1,6.7,2.7,435,0.92,0.05,0,0.05,0.76,0.06,0.91,0.02,1.67,0.06,0.3,4.03,9.37,0.11,,0.1,0.21,10.98
2/17/18,48,Lake,0.7,0.7,1,76.5,13.8,6.3,2,0.5,,0.19,0.03,0.05,0.04,0.19,0.16,0.24,0.01,0.43,0.16,0.63,1.87,0.58,0.06,,1.8,1.85,0.65
2/17/18,48,Lake,0.7,1.2,0.4,74.1,13.9,6.4,2,1,59,,,,,,,,,,,,,,,,,,
2/17/18,48,Lake,0.7,1.8,1.6,73.9,11.9,6.4,3.9,1.3,227,,,,,,,,,,,,,,,,,,
2/17/18,48,Lake,0.7,2.3,2.9,75.1,10,6.4,3.3,2,473,0.25,0,0.13,0.04,0.45,0.06,0.38,0.04,0.83,0.04,0.47,2.43,,,,,2.09,1.69
2/17/18,48,Lake,0.7,2.4,3.8,84.6,7.1,6.5,3.2,1.3,160,0.28,0.02,0.15,0.03,0.69,0.46,0.43,0.02,1.12,0.46,0.36,3.49,,,,,1.5,7.65
2/17/18,48,Lake,0.7,2.8,4,87.2,5.6,6.5,4.1,1.5,9,0.57,0.01,0.12,0.02,0.83,0.39,0.7,0.02,1.53,0.39,0.24,3.4,15.73,0.11,,2.05,2.15,16.76
2/17/18,48,Lake,0.7,3.1,4.5,95.2,2.8,6.6,24.6,0.8,217,0.59,0.03,0.27,0.15,0.98,2.08,0.86,0.14,1.84,2.08,0.17,3.46,23.81,0.09,,3.27,3.36,22.92
3/10/18,69,Lake,0.65,0.7,0.4,81.4,13.4,7.2,25.1,0.4,169,0.06,0.02,0.09,0.05,0.13,0.05,0.15,0.05,0.28,0,0.66,1.73,0.61,0.06,,1.92,1.97,0.7
3/10/18,69,Lake,0.65,1,0.2,79.6,13.4,7.1,62.2,0.1,16,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.3,0.3,79.9,13.3,7.2,25.8,,,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.6,0.8,81.1,11.8,7.2,2.8,0.4,53,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.9,1.9,84.1,7.2,7.1,3.9,0.7,183,0.5,0.02,0.14,0.02,0.42,0.13,0.64,0.01,1.06,0.13,0.21,2.63,,,,,3.11,22.08
3/10/18,69,Lake,0.65,2.1,2.5,85.4,5.1,7,3.8,,,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,2.4,3.1,88.3,3.5,7,3.8,0.8,167,0.34,0.02,0.1,0.04,0.35,0.08,0.45,0.04,0.79,0.07,0.31,2.23,,,,,2.2,11.32
3/10/18,69,Lake,0.65,2.7,3.9,91.5,2.1,7,3.8,0.9,240,0.48,0.06,0.17,0.07,0.37,0.1,0.66,0.03,1.03,0.09,0.21,2.67,24.76,0.08,,3.26,3.34,23.78
3/10/18,69,Lake,0.65,2.9,4.3,96,1.3,7,5.9,1,153,0.7,0.02,0.14,0.03,1.13,0.39,0.84,0.02,1.97,0.39,0.1,2.99,38.57,0.1,,3.88,3.98,38.57
3/19/18,78,Lake,0.67,0.6,1.4,93.2,12.8,6.9,5.5,1.2,3,1.03,0.01,0.33,0.01,0.66,0.09,1.37,0.01,2.02,0.09,0.76,3.39,0.88,0.42,,1.97,2.39,0.9
3/19/18,78,Lake,0.67,1,0.8,92.8,13,6.9,7.2,1.6,,,,,,,,,,,,,,,,,,,
3/19/18,78,Lake,0.67,1.3,0.5,93.2,13,6.9,7.4,,,,,,,,,,,,,,,,,,,,
3/19/18,78,Lake,0.67,1.5,0.6,94,13,7,7.5,1.3,,,,,,,,,,,,,,,,,,,
3/19/18,78,Lake,0.67,1.8,0.6,94.2,13,7.1,8.2,1.3,,,,,,,,,,,,,,,,,,,
3/19/18,78,Lake,0.67,2.2,1.7,96.7,9.5,6.9,7.2,0.2,,0.9,0.01,0.24,0.08,0.53,0.08,1.14,0.08,1.67,0,0.63,2.74,,,,,2.22,4.04
3/19/18,78,Lake,0.67,2.6,3,94.6,5.1,6.9,5.6,1.4,,0.56,0.04,0.21,0.07,0.45,0.08,0.77,0.06,1.21,0.05,0.26,2.19,,,,,3.14,22.52
3/19/18,78,Lake,0.67,2.9,3.7,97.5,2.1,6.9,6,0.3,8,0.6,0.02,0.12,0.06,0.66,0.06,0.73,0.05,1.39,0.04,0.23,2.33,24.09,0.08,,3.13,3.21,23.14
3/19/18,78,Lake,0.67,3,3.9,99.1,1.6,6.9,5.5,,,0.65,0.02,0.21,0.08,0.44,0.09,0.87,0.08,1.31,0.05,0.19,2.37,26.28,0.06,,3.45,3.51,25.47
3/25/18,84,Lake,0.7,0.7,1.5,93.6,13.2,7.3,2.9,1,139,0.55,0.03,0.27,0.06,0.32,0.08,0.82,0.05,1.14,0.07,0.72,3.14,0.8,0.13,,2.86,2.99,0.84
3/25/18,84,Lake,0.7,0.9,1.3,92.9,13.3,7.3,3.3,1.3,115,,,,,,,,,,,,,,,,,,
3/25/18,84,Lake,0.7,1.3,1.2,93.3,13.3,7.3,3.4,,,,,,,,,,,,,,,,,,,,
3/25/18,84,Lake,0.7,1.6,1.3,93.6,13.3,7.3,3.5,1.1,,,,,,,,,,,,,,,,,,,
3/25/18,84,Lake,0.7,1.8,1.5,94.9,12.8,7.2,4.5,,,,,,,,,,,,,,,,,,,,
3/25/18,84,Lake,0.7,2.1,2.2,96,8.8,7.1,5.2,1.3,,0.75,0.01,0.32,0.07,0.54,0.08,1.06,0.07,1.6,0.03,0.56,2.76,,,,,2.5,6.75
3/25/18,84,Lake,0.7,2.4,3.1,96.9,5.2,7,5,1.2,86,0.59,0.02,0.15,0.05,0.54,0.05,0.74,0.04,1.29,0.03,0.28,2.31,,,,,2.9,21.18
3/25/18,84,Lake,0.7,2.5,3.5,97.8,3.9,7,5.1,1,,,,,,,,,,,,,,,,,,,
3/25/18,84,Lake,0.7,2.8,4,99.4,2,7,5.1,1.6,,0.55,0.01,0.16,0.1,0.57,0.11,0.71,0.1,1.27,0.05,0.27,2.27,18.98,0.11,,2.81,2.92,19.19
3/25/18,84,Lake,0.7,3,4.1,99.9,1.8,7,5.9,,,0.62,0.03,0.14,0.03,0.72,0.05,0.76,0.01,1.48,0.05,0.18,2.33,24.17,0.06,,3.43,3.5,24.99
3/28/18,87,Lake,0.69,0.7,0.2,83.6,13.4,7.3,15.6,1.8,181,1.24,0.03,0.19,0.07,0.99,0.06,1.43,0.06,2.42,0.02,0.6,3.23,0.91,0.11,,2.87,2.98,1.09
3/28/18,87,Lake,0.69,1,0.3,83.7,13.4,7.4,16,2,243,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,1.2,0.2,83.8,13.5,7.3,15.4,,,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,1.4,0.2,83.8,13.5,7.4,16.5,,,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,1.6,0.2,83.9,13.5,7.4,15.5,1.7,67,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,1.8,0.5,84.6,13.3,7.4,14.9,,,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,2.1,2,89.7,9.9,7.2,6.2,2.5,315,,,,,,,,,,,,,,,,,,
3/28/18,87,Lake,0.69,2.3,2.6,92.8,7.7,7.1,5.9,1.3,,1.17,0.03,0.28,0.03,0.94,0.02,1.45,0.01,2.39,0.01,0.59,3.82,,,,,3.2,1.34
3/28/18,87,Lake,0.69,2.6,3.4,96.6,4.4,7,5.9,0.8,,0.58,0.02,0.08,0.08,0.67,0.09,0.66,0.07,1.33,0.04,0.4,2.73,,,,,3.01,9.42
3/28/18,87,Lake,0.69,2.8,3.7,98.9,2.8,7,6.5,0.2,61,0.5,0.03,0.12,0.04,0.86,0.12,0.62,0.03,1.48,0.12,0.41,2.58,8.63,0.08,,3.15,3.23,8.52
3/28/18,87,Lake,0.69,3,3.9,99.9,2.4,7,6.2,,,0.58,0.02,0.02,0.05,0.79,0.1,0.6,0.05,1.39,0.09,0.25,2.25,16.68,0.07,,2.96,3.02,16.68
4/6/18,96,Lake,0.6,0.8,0.4,44,14.3,7.4,27.1,3,169,0.43,0.03,0.38,0.03,1.52,0.02,0.81,0.02,2.34,0.01,0.46,3.93,,,,,1.79,0.75
4/6/18,96,Lake,0.6,1,0.2,43.9,14.4,7.4,30.7,2.9,393,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,1.3,0.2,43.9,14.4,7.4,27,2.7,416,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,1.6,0.3,44,14.4,7.4,29.1,,,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,1.8,0.2,44,14.4,7.4,29.2,,,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,2.1,0.2,44,14.4,7.4,25.7,3,225,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,2.3,0.2,44,14.4,7.4,28.4,,,,,,,,,,,,,,,,,,,,
4/6/18,96,Lake,0.6,2.5,0.2,44,14.4,7.4,27.1,2.2,221,0.35,0.01,0.13,0.06,1.87,0.21,0.48,0.06,2.35,0.2,0.46,4.12,,,,,,
4/6/18,96,Lake,0.6,2.8,0.3,44.2,14.4,7.4,27.4,2.9,374,0.45,0.02,0.31,0.03,1.73,0.04,0.76,0.02,2.49,0.03,0.45,4.87,,,,,1.84,0.74
4/6/18,96,Lake,0.6,3,0.7,45,14,7.3,30.9,3.2,307,0.35,0.02,0.66,0.12,2.49,0.76,1.01,0.11,3.51,0.75,0.45,4.19,,,,,1.87,0.93
4/6/18,96,Lake,0.6,3.2,0.9,45.6,13.7,7.3,30.4,,,0.29,0.01,0.63,0.23,1.83,0.26,0.92,0.23,2.75,0.12,0.45,4.19,,,,,1.91,1.12
3/28/18,87,River,,0,0.3,80.5,14,7.4,18,,,2.86,0.01,0.47,0.01,,,3.33,0.01,,,0.65,4.76,,,,,2.41,1.05
4/6/18,96,River,,0,0.4,45.8,14.5,7.5,27.4,,,0.39,0.03,0.59,0.03,,,0.98,0.02,,,0.46,3.72,0.26,,,,1.64,0.6